x,y,w,h,mu_e,sigma_e,mu_mt,sigma_mt
-0.10666666666666667,-0.06666666666666667,0.0,0.0,0.12064896534784779,0.0,14.364,0.0
0.07333333333333332,-0.03333333333333333,0.005555555555555556,0.005555555555555556,0.00517985283476759,0.0013594620097042728,0.30133333333333334,0.21571637757842024
-0.07333333333333333,0.03333333333333334,0.005555555555555556,0.005555555555555556,0.004697158757291477,0.0008800239276344495,0.20914285714285716,0.02141713980789733
0.07333333333333332,0.03333333333333334,0.022222222222222223,0.022222222222222223,0.019017941401033765,0.002876308707427987,0.18225,0.02590728661979097
-0.07333333333333333,0.03333333333333334,0.022222222222222223,0.022222222222222223,0.017714333625232937,0.001162124073449066,0.1748333333333333,0.020763884243775035
-0.07333333333333333,-0.03333333333333333,0.005555555555555556,0.005555555555555556,0.006550210990040696,0.0009174146097577726,0.20850000000000002,0.007499999999999993
0.07333333333333332,0.03333333333333334,0.016666666666666666,0.016666666666666666,0.01488922232800391,0.0038426281341756093,0.19116666666666668,0.027859269353105603
0.07333333333333332,-0.03333333333333333,0.016666666666666666,0.016666666666666666,0.014424515991328782,0.003031929694956577,0.17725000000000002,0.033647993996670886
0.07333333333333332,0.03333333333333334,0.005555555555555556,0.005555555555555556,0.007825181021805553,0.0014876303417137473,0.2565,0.03302902763731724
0.07333333333333332,-0.03333333333333333,0.022222222222222223,0.022222222222222223,0.02114033065604494,0.0,0.114,0.0
-0.07333333333333333,-0.03333333333333333,0.016666666666666666,0.016666666666666666,0.013701510323866902,0.0031410421374388152,0.1654,0.014691494137765567
-0.07333333333333333,-0.03333333333333333,0.022222222222222223,0.022222222222222223,0.016340124616824086,0.0012994610850648005,0.144,0.008093207028119317
-0.07333333333333333,0.03333333333333334,0.016666666666666666,0.016666666666666666,0.011922512709337958,0.0014131173242933682,0.1684,0.011217842929904125
