x,y,w,h,mu_e,sigma_e,mu_mt,sigma_mt
0.07333333333333332,-0.03333333333333333,0.005555555555555556,0.005555555555555556,0.09575889103888281,0.00012331857516314395,3.468600000000001,0.0034698703145795745
-0.07333333333333333,0.03333333333333334,0.005555555555555556,0.005555555555555556,0.095731234985929,0.00012372196118515033,3.4690000000000007,0.003316624790355461
0.07333333333333332,0.03333333333333334,0.022222222222222223,0.022222222222222223,0.1503361220072791,0.00018873926828895065,2.849900000000001,0.000994987437106643
-0.07333333333333333,0.03333333333333334,0.022222222222222223,0.022222222222222223,0.15031057111384855,0.000144015438611484,2.8497000000000012,0.0017058722109232376
-0.07333333333333333,-0.03333333333333333,0.005555555555555556,0.005555555555555556,0.09577206314571761,0.00012902818667119475,3.468800000000001,0.003249615361854459
0.07333333333333332,0.03333333333333334,0.016666666666666666,0.016666666666666666,0.13581082390054405,0.0001780316515652232,2.9799000000000007,0.0009949874371065987
0.07333333333333332,-0.03333333333333333,0.016666666666666666,0.016666666666666666,0.13579343381896847,0.0001344643042152371,2.9799,0.0009949874371065989
0.07333333333333332,0.03333333333333334,0.005555555555555556,0.005555555555555556,0.09574552880491606,0.00011964560338443838,3.4683000000000006,0.0037563279941986772
0.07333333333333332,-0.03333333333333333,0.022222222222222223,0.022222222222222223,0.15034246470389281,0.00018979199289310308,2.8497000000000012,0.0017058722109232374
-0.07333333333333333,-0.03333333333333333,0.016666666666666666,0.016666666666666666,0.13577004304818066,0.00014592140806553406,2.9799,0.0009949874371065989
-0.07333333333333333,-0.03333333333333333,0.022222222222222223,0.022222222222222223,0.15034097749300865,0.00017524549570317562,2.8498000000000006,0.0014000000000000323
-0.07333333333333333,0.03333333333333334,0.016666666666666666,0.016666666666666666,0.13579950917790287,0.00015222346808723048,2.9800000000000004,4.440892098500626e-16
